init,targ,rollout_id,embedding,sampled_embedding
51,65,0,"[-1.758914828300476, 0.9518789649009705, 1.3918055295944214, 0.5942964553833008, -0.55447918176651, 1.070277452468872, 0.15503373742103577, -3.8928489685058594, 1.0874121189117432, -1.7850509881973267, -1.9806156158447266, -2.304813861846924, -3.672593116760254, -3.222160577774048, 1.2132575511932373, -4.303985595703125, -4.240248680114746, 1.22396981716156, -2.9557807445526123, -1.5775281190872192]","[-1.5225070714950562, 0.9757928848266602, 1.4030811786651611, 0.5709475874900818, -4.066418647766113, 1.0684001445770264, 0.1729130893945694, -6.201822757720947, 1.0189095735549927, -1.5782742500305176]"
51,65,1,"[-2.667227268218994, 0.5249168872833252, 1.7650429010391235, -0.28877687454223633, -1.3551619052886963, 0.9598732590675354, 0.8060804605484009, -0.6317420601844788, 1.3127745389938354, -1.50667142868042, -0.9425739645957947, -2.172760248184204, -2.70289945602417, -3.7038581371307373, 3.8390657901763916, -3.8509082794189453, -3.5508129596710205, -2.4107182025909424, -3.8469078540802, -1.1708159446716309]","[-2.5823912620544434, 0.50441974401474, 1.622909426689148, -0.27652329206466675, -5.11619234085083, 0.9715791940689087, 0.825836718082428, -0.6611905097961426, 1.3064478635787964, -1.4876843690872192]"
51,65,2,"[-2.2728326320648193, -0.48934513330459595, 1.5774413347244263, -0.020384352654218674, -1.8054697513580322, 1.1808419227600098, 0.5179060697555542, -0.47729766368865967, 1.3167380094528198, 0.10187242925167084, -1.829311728477478, -2.3943710327148438, -3.218583345413208, -3.594844341278076, 1.9662141799926758, -3.7671022415161133, -3.7906742095947266, -2.940659999847412, -2.7910757064819336, 0.5367765426635742]","[-2.222069501876831, -0.45051854848861694, 1.5661596059799194, -0.008639935404062271, -4.3321099281311035, 1.1952447891235352, 0.515243649482727, -0.4436435401439667, 1.0937060117721558, 1.8206689357757568]"
51,65,3,"[-1.6800881624221802, 1.833464503288269, 1.6533730030059814, -0.5453410148620605, -1.0294103622436523, 1.4235483407974243, 0.6902321577072144, -1.3094671964645386, 1.7064707279205322, 0.934987485408783, -1.3659719228744507, -4.075431823730469, -3.0994009971618652, -4.101051330566406, 2.2065460681915283, -4.317318916320801, -3.753523826599121, -0.7708438038825989, -3.64841628074646, 0.3772556781768799]","[-1.8718327283859253, 1.814602255821228, 1.7343437671661377, -0.5224804282188416, -1.5912262201309204, 1.4231202602386475, 0.694213330745697, -0.7721162438392639, 1.6628286838531494, 2.9530367851257324]"
51,65,4,"[-1.5168938636779785, -0.6552448272705078, 1.518639326095581, -0.4424665570259094, -0.902527391910553, 0.6547195315361023, 0.6829243898391724, -2.0111751556396484, 2.1308681964874268, 0.6168953776359558, -1.9541995525360107, -2.6272294521331787, -3.0818934440612793, -3.273914337158203, 2.584395170211792, -3.5979251861572266, -3.3801679611206055, -1.0265114307403564, -3.078251600265503, 0.4561169147491455]","[-1.286267876625061, -0.6403149366378784, 1.4736206531524658, -0.41108813881874084, 6.4707746505737305, 0.6722536683082581, 0.718525767326355, -1.6349684000015259, 2.115034580230713, 0.4857681691646576]"
51,65,5,"[-1.5728310346603394, -0.9849500060081482, 1.5030344724655151, 0.7686091661453247, -2.2240796089172363, 1.0771371126174927, 0.45522579550743103, -0.43935781717300415, -0.26984700560569763, 1.8907225131988525, -2.426664113998413, -2.6257548332214355, -3.88512921333313, -3.301365375518799, -0.4930393695831299, -3.691751480102539, -3.7431912422180176, -3.1943655014038086, -2.328657627105713, -1.2630715370178223]","[-1.6343555450439453, -0.8540214896202087, 1.47879159450531, 0.7564141750335693, -1.5857453346252441, 1.086849331855774, 0.44820713996887207, -0.4671643376350403, -0.23578700423240662, 2.208618402481079]"
51,65,6,"[-1.24386465549469, 1.5861738920211792, 1.2673546075820923, -0.11215513944625854, -0.355577290058136, 0.7512697577476501, 0.6511685848236084, -0.10028422623872757, 2.51899790763855, 0.16379912197589874, -2.2055158615112305, -2.6094918251037598, -3.5406062602996826, -3.259632110595703, 1.2597193717956543, -3.3537583351135254, -3.3606085777282715, -2.9976673126220703, -2.4090592861175537, -0.8246023654937744]","[-1.2267050743103027, 1.6496357917785645, 1.2724262475967407, -0.1569194793701172, 4.861551761627197, 0.7517027258872986, 0.6575192213058472, -0.10720308870077133, 2.391167640686035, -0.1274506002664566]"
51,65,7,"[-1.9274022579193115, -0.5636720657348633, -0.10783720016479492, -1.0328266620635986, -2.8321330547332764, 1.7584232091903687, -0.21297180652618408, -1.7081010341644287, -1.026705265045166, 0.9353421926498413, -3.4791226387023926, -3.2892117500305176, -2.6107802391052246, -4.8658881187438965, 0.32399749755859375, -4.540595054626465, -4.641410827636719, -1.1913243532180786, -3.4731669425964355, -0.4239161014556885]","[-1.9108134508132935, -0.5947811007499695, -0.1988253891468048, -1.0363426208496094, -2.094667911529541, 1.766880989074707, -0.21184277534484863, -1.232479214668274, -0.994446873664856, 0.17177200317382812]"
51,65,8,"[-1.7802767753601074, 0.017184972763061523, 1.4899309873580933, -0.5313940048217773, -0.7199875712394714, 0.6158523559570312, 0.6114466190338135, -0.9828044772148132, 0.2960910499095917, 1.2532459497451782, -2.42458438873291, -2.6083412170410156, -3.251603841781616, -4.030269622802734, 3.201169729232788, -3.6913113594055176, -3.571845531463623, -2.278639554977417, -2.8074944019317627, 0.3317091464996338]","[-1.8787645101547241, 0.05723690986633301, 1.4405964612960815, -0.5222984552383423, 4.092957973480225, 0.5932304263114929, 0.6182550191879272, -1.0613009929656982, 0.26686084270477295, 0.9892091751098633]"
51,65,9,"[-1.8782886266708374, -0.2242899239063263, 1.4926837682724, -0.5025001764297485, -1.0301320552825928, 1.3712410926818848, 0.8286179304122925, -1.2111661434173584, 1.1584141254425049, 1.624851942062378, -2.3966777324676514, -2.6791157722473145, -3.350167751312256, -4.142043590545654, 2.8107903003692627, -4.169747352600098, -4.446038246154785, -1.908382773399353, -3.595633029937744, -0.3670480251312256]","[-2.068941831588745, -0.11411648988723755, 1.5018775463104248, -0.4946571886539459, -2.7268967628479004, 1.3816853761672974, 0.8181389570236206, -1.4901570081710815, 1.1535626649856567, 2.3703243732452393]"
51,65,10,"[-1.0007129907608032, 1.0948901176452637, 1.296905755996704, 0.9539625644683838, -0.044595763087272644, 0.9373763203620911, 0.47990289330482483, -1.9299780130386353, 2.128847360610962, 0.9715533256530762, -3.3451943397521973, -1.0634297132492065, -3.521059036254883, -2.8109288215637207, 2.13078236579895, -3.7130913734436035, -3.452510356903076, -1.349466323852539, -1.8396131992340088, -0.29106855392456055]","[-1.0309271812438965, 0.15394771099090576, 1.2792702913284302, 0.972922682762146, -2.860304355621338, 0.9460567235946655, 0.5066128969192505, -2.07022762298584, 2.01570200920105, 1.0690979957580566]"
51,65,11,"[-1.1938464641571045, -0.569815993309021, 1.4283874034881592, -0.0754452645778656, -1.0824317932128906, 0.7590382695198059, 0.8557376265525818, 0.024691876024007797, 2.1036293506622314, 1.6150953769683838, -2.014251232147217, -3.530890941619873, -3.4359774589538574, -3.358673095703125, 1.6923081874847412, -3.3363804817199707, -2.888045310974121, -2.8391542434692383, -2.8073651790618896, -0.3529273271560669]","[-1.100301742553711, -0.5072836875915527, 1.4469362497329712, -0.08097955584526062, -4.845938682556152, 0.7748855948448181, 0.8568334579467773, 0.016165342181921005, 2.203401803970337, 0.00449979305267334]"
51,65,12,"[-1.6733537912368774, 0.881170928478241, 1.3164564371109009, -0.32137736678123474, -1.857797384262085, 0.4396724998950958, 0.2899858057498932, -0.3342347741127014, 1.4744123220443726, -1.1561193466186523, -2.179288387298584, -2.2641615867614746, -3.588075637817383, -3.338521718978882, -0.08176422119140625, -3.503337860107422, -4.009642601013184, -3.144434928894043, -2.3767733573913574, -2.6339738368988037]","[-1.6063010692596436, 0.8851234316825867, 1.294672966003418, -0.3397316634654999, -1.593031883239746, 0.40387704968452454, 0.29876798391342163, -0.4172917306423187, 1.5079162120819092, -1.2483875751495361]"
51,65,13,"[-2.175147294998169, -0.8936601877212524, 1.5693435668945312, 0.44587552547454834, -2.4687225818634033, 0.45835649967193604, 0.9757217168807983, -0.7153699398040771, 1.8188155889511108, -1.6178776025772095, -0.536207914352417, -3.1252999305725098, -2.8859634399414062, -2.3443775177001953, 1.6749742031097412, -3.333911895751953, -3.5594067573547363, -2.3194522857666016, -2.78159236907959, -1.0990386009216309]","[-2.2368643283843994, -0.8576666116714478, 1.4694989919662476, 0.4346690773963928, -2.1681294441223145, 0.4308044910430908, 0.9465057849884033, -0.614254891872406, 1.7689696550369263, -1.4278920888900757]"
